sort,arch,backend,build_rev,format,latest,name,platform,type,url,ver,key
001,,,0,asc,1,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2020.06.tar.gz.asc,2020.06,rakudo-2020.06
002,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2020.05.1.tar.gz.asc,2020.05.1,rakudo-2020.05.1
003,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2020.05.tar.gz.asc,2020.05,rakudo-2020.05
004,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2020.02.1.tar.gz.asc,2020.02.1,rakudo-2020.02.1
005,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2020.02.tar.gz.asc,2020.02,rakudo-2020.02
006,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2020.01.tar.gz.asc,2020.01,rakudo-2020.01
007,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2019.11.tar.gz.asc,2019.11,rakudo-2019.11
008,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2019.07.1.tar.gz.asc,2019.07.1,rakudo-2019.07.1
009,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2019.07.tar.gz.asc,2019.07,rakudo-2019.07
010,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2019.03.1.tar.gz.asc,2019.03.1,rakudo-2019.03.1
011,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2019.03.tar.gz.asc,2019.03,rakudo-2019.03
012,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.12.tar.gz.asc,2018.12,rakudo-2018.12
013,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.11.tar.gz.asc,2018.11,rakudo-2018.11
014,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.10.tar.gz.asc,2018.10,rakudo-2018.10
015,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.09.tar.gz.asc,2018.09,rakudo-2018.09
016,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.08.tar.gz.asc,2018.08,rakudo-2018.08
017,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.06.tar.gz.asc,2018.06,rakudo-2018.06
018,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.05.tar.gz.asc,2018.05,rakudo-2018.05
019,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.04.1.tar.gz.asc,2018.04.1,rakudo-2018.04.1
020,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.04.tar.gz.asc,2018.04,rakudo-2018.04
021,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.03.tar.gz.asc,2018.03,rakudo-2018.03
022,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.02.1.tar.gz.asc,2018.02.1,rakudo-2018.02.1
023,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.02.tar.gz.asc,2018.02,rakudo-2018.02
024,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2018.01.tar.gz.asc,2018.01,rakudo-2018.01
025,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.12.tar.gz.asc,2017.12,rakudo-2017.12
026,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.11.tar.gz.asc,2017.11,rakudo-2017.11
027,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.10.tar.gz.asc,2017.10,rakudo-2017.10
028,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.09.tar.gz.asc,2017.09,rakudo-2017.09
029,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.08.tar.gz.asc,2017.08,rakudo-2017.08
030,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.07.tar.gz.asc,2017.07,rakudo-2017.07
031,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.06.tar.gz.asc,2017.06,rakudo-2017.06
032,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.05.tar.gz.asc,2017.05,rakudo-2017.05
033,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.04.3.tar.gz.asc,2017.04.3,rakudo-2017.04.3
034,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.04.2.tar.gz.asc,2017.04.2,rakudo-2017.04.2
035,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.04.1.tar.gz.asc,2017.04.1,rakudo-2017.04.1
036,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.04.tar.gz.asc,2017.04,rakudo-2017.04
037,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.03.tar.gz.asc,2017.03,rakudo-2017.03
038,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.02.tar.gz.asc,2017.02,rakudo-2017.02
039,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2017.01.tar.gz.asc,2017.01,rakudo-2017.01
040,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.12.tar.gz.asc,2016.12,rakudo-2016.12
041,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.11.tar.gz.asc,2016.11,rakudo-2016.11
042,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.10.tar.gz.asc,2016.10,rakudo-2016.10
043,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.09.tar.gz.asc,2016.09,rakudo-2016.09
044,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.08.1.tar.gz.asc,2016.08.1,rakudo-2016.08.1
045,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.08.tar.gz.asc,2016.08,rakudo-2016.08
046,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.07.1.tar.gz.asc,2016.07.1,rakudo-2016.07.1
047,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.07.tar.gz.asc,2016.07,rakudo-2016.07
048,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.06.tar.gz.asc,2016.06,rakudo-2016.06
049,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.05.tar.gz.asc,2016.05,rakudo-2016.05
050,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.04.tar.gz.asc,2016.04,rakudo-2016.04
051,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.03.tar.gz.asc,2016.03,rakudo-2016.03
052,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.02.tar.gz.asc,2016.02,rakudo-2016.02
053,,,0,asc,0,rakudo,src,sig,https://rakudo.org/dl/rakudo/rakudo-2016.01.1.tar.gz.asc,2016.01.1,rakudo-2016.01.1
